Year,County Code,County Name,Disposition Code,Type of Disposition,Deaths,Percent
2003,51,Schoharie,1,Burial,155,54.6%
2003,51,Schoharie,2,Cremation,112,39.4%
2003,51,Schoharie,3,Other/Unknown,17,6.0%
2003,52,Schuyler,0,Total,210,100.0%
2003,52,Schuyler,1,Burial,102,48.6%
2003,52,Schuyler,2,Cremation,79,37.6%
2003,52,Schuyler,3,Other/Unknown,29,13.8%
2003,53,Seneca,0,Total,338,100.0%
2003,53,Seneca,1,Burial,200,59.2%
2003,53,Seneca,2,Cremation,122,36.1%
2003,53,Seneca,3,Other/Unknown,16,4.7%
2003,54,Steuben,0,Total,994,100.0%
2003,54,Steuben,1,Burial,629,63.3%
2003,54,Steuben,2,Cremation,269,27.1%
2003,54,Steuben,3,Other/Unknown,96,9.7%
2003,55,Suffolk,0,Total,11503,100.0%
2003,55,Suffolk,1,Burial,8577,74.6%
2003,55,Suffolk,2,Cremation,2587,22.5%
2003,55,Suffolk,3,Other/Unknown,339,2.9%
2003,56,Sullivan,0,Total,688,100.0%
2003,56,Sullivan,1,Burial,403,58.6%
2003,56,Sullivan,2,Cremation,220,32.0%
2003,56,Sullivan,3,Other/Unknown,65,9.4%
2003,57,Tioga,0,Total,439,100.0%
2003,57,Tioga,1,Burial,184,41.9%
2003,57,Tioga,2,Cremation,124,28.2%
2003,57,Tioga,3,Other/Unknown,131,29.8%
2003,58,Tompkins,0,Total,578,100.0%
2003,58,Tompkins,1,Burial,250,43.3%
2003,58,Tompkins,2,Cremation,269,46.5%
2003,58,Tompkins,3,Other/Unknown,59,10.2%
2003,59,Ulster,0,Total,1515,100.0%
2003,59,Ulster,1,Burial,970,64.0%
2003,59,Ulster,2,Cremation,489,32.3%
2003,59,Ulster,3,Other/Unknown,56,3.7%
2003,60,Warren,0,Total,623,100.0%
2003,60,Warren,1,Burial,375,60.2%
2003,60,Warren,2,Cremation,206,33.1%
2003,60,Warren,3,Other/Unknown,42,6.7%
2003,61,Washington,0,Total,638,100.0%
2003,61,Washington,1,Burial,338,53.0%
2003,61,Washington,2,Cremation,193,30.3%
2003,61,Washington,3,Other/Unknown,107,16.8%
2003,62,Wayne,0,Total,840,100.0%
2003,62,Wayne,1,Burial,516,61.4%
2003,62,Wayne,2,Cremation,282,33.6%
2003,62,Wayne,3,Other/Unknown,42,5.0%
2003,63,Westchester,0,Total,7268,100.0%
2003,63,Westchester,1,Burial,5116,70.4%
2003,63,Westchester,2,Cremation,1728,23.8%
2003,63,Westchester,3,Other/Unknown,424,5.8%
2003,64,Wyoming,0,Total,371,100.0%
2003,64,Wyoming,1,Burial,210,56.6%
2003,64,Wyoming,2,Cremation,128,34.5%
2003,64,Wyoming,3,Other/Unknown,33,8.9%
2003,65,Yates,0,Total,245,100.0%
2003,65,Yates,1,Burial,133,54.3%
2003,65,Yates,2,Cremation,97,39.6%
2003,65,Yates,3,Other/Unknown,15,6.1%
2004,1,New York State,0,Total,151455,100.0%
2004,1,New York State,1,Burial,101597,67.1%
2004,1,New York State,2,Cremation,39184,25.9%
2004,1,New York State,3,Other/Unknown,10674,7.0%
2004,2,New York City,0,Total,56065,100.0%
2004,2,New York City,1,Burial,40676,72.6%
2004,2,New York City,2,Cremation,11804,21.1%
2004,2,New York City,3,Other/Unknown,3585,6.4%
2004,3,Bronx,0,Total,9598,100.0%
2004,3,Bronx,1,Burial,6701,69.8%
2004,3,Bronx,2,Cremation,2061,21.5%
2004,3,Bronx,3,Other/Unknown,836,8.7%
2004,4,Kings,0,Total,17314,100.0%
2004,4,Kings,1,Burial,13766,79.5%
2004,4,Kings,2,Cremation,2722,15.7%
2004,4,Kings,3,Other/Unknown,826,4.8%
2004,5,New York,0,Total,10688,100.0%
2004,5,New York,1,Burial,6586,61.6%
2004,5,New York,2,Cremation,3313,31.0%
2004,5,New York,3,Other/Unknown,789,7.4%
2004,6,Queens,0,Total,14945,100.0%
2004,6,Queens,1,Burial,11032,73.8%
2004,6,Queens,2,Cremation,3021,20.2%
2004,6,Queens,3,Other/Unknown,892,6.0%
2004,7,Richmond,0,Total,3520,100.0%
2004,7,Richmond,1,Burial,2591,73.6%
2004,7,Richmond,2,Cremation,687,19.5%
2004,7,Richmond,3,Other/Unknown,242,6.9%
2004,8,Rest of State,0,Total,95390,100.0%
2004,8,Rest of State,1,Burial,60921,63.9%
2004,8,Rest of State,2,Cremation,27380,28.7%
2004,8,Rest of State,3,Other/Unknown,7089,7.4%
2004,9,Albany,0,Total,2800,100.0%
2004,9,Albany,1,Burial,2003,71.5%
2004,9,Albany,2,Cremation,619,22.1%
2004,9,Albany,3,Other/Unknown,178,6.4%
2004,10,Allegany,0,Total,454,100.0%
2004,10,Allegany,1,Burial,275,60.6%
2004,10,Allegany,2,Cremation,161,35.5%
2004,10,Allegany,3,Other/Unknown,18,4.0%
2004,11,Broome,0,Total,2072,100.0%
2004,11,Broome,1,Burial,1280,61.8%
2004,11,Broome,2,Cremation,622,30.0%
2004,11,Broome,3,Other/Unknown,170,8.2%
2004,12,Cattaraugus,0,Total,906,100.0%
2004,12,Cattaraugus,1,Burial,562,62.0%
2004,12,Cattaraugus,2,Cremation,278,30.7%
2004,12,Cattaraugus,3,Other/Unknown,66,7.3%
2004,13,Cayuga,0,Total,700,100.0%
2004,13,Cayuga,1,Burial,447,63.9%
2004,13,Cayuga,2,Cremation,194,27.7%
2004,13,Cayuga,3,Other/Unknown,59,8.4%
2004,14,Chautauqua,0,Total,1426,100.0%
2004,14,Chautauqua,1,Burial,843,59.1%
2004,14,Chautauqua,2,Cremation,426,29.9%
2004,14,Chautauqua,3,Other/Unknown,157,11.0%
2004,15,Chemung,0,Total,901,100.0%
2004,15,Chemung,1,Burial,608,67.5%
2004,15,Chemung,2,Cremation,231,25.6%
2004,15,Chemung,3,Other/Unknown,62,6.9%
2004,16,Chenango,0,Total,550,100.0%
2004,16,Chenango,1,Burial,290,52.7%
2004,16,Chenango,2,Cremation,212,38.5%
2004,16,Chenango,3,Other/Unknown,48,8.7%
2004,17,Clinton,0,Total,625,100.0%
2004,17,Clinton,1,Burial,372,59.5%
2004,17,Clinton,2,Cremation,198,31.7%
2004,17,Clinton,3,Other/Unknown,55,8.8%
2004,18,Columbia,0,Total,707,100.0%
2004,18,Columbia,1,Burial,372,52.6%
2004,18,Columbia,2,Cremation,257,36.4%
2004,18,Columbia,3,Other/Unknown,78,11.0%
2004,19,Cortland,0,Total,424,100.0%
2004,19,Cortland,1,Burial,249,58.7%
2004,19,Cortland,2,Cremation,149,35.1%
2004,19,Cortland,3,Other/Unknown,26,6.1%
2004,20,Delaware,0,Total,526,100.0%
2004,20,Delaware,1,Burial,285,54.2%
2004,20,Delaware,2,Cremation,217,41.3%
2004,20,Delaware,3,Other/Unknown,24,4.6%
2004,21,Dutchess,0,Total,2243,100.0%
2004,21,Dutchess,1,Burial,1321,58.9%
2004,21,Dutchess,2,Cremation,682,30.4%
2004,21,Dutchess,3,Other/Unknown,240,10.7%
2004,22,Erie,0,Total,9661,100.0%
2004,22,Erie,1,Burial,5361,55.5%
2004,22,Erie,2,Cremation,3455,35.8%
2004,22,Erie,3,Other/Unknown,845,8.7%
2004,23,Essex,0,Total,431,100.0%
2004,23,Essex,1,Burial,211,49.0%
2004,23,Essex,2,Cremation,168,39.0%
2004,23,Essex,3,Other/Unknown,52,12.1%
2004,24,Franklin,0,Total,438,100.0%
2004,24,Franklin,1,Burial,248,56.6%
2004,24,Franklin,2,Cremation,144,32.9%
2004,24,Franklin,3,Other/Unknown,46,10.5%
2004,25,Fulton,0,Total,562,100.0%
2004,25,Fulton,1,Burial,357,63.5%
2004,25,Fulton,2,Cremation,169,30.1%
2004,25,Fulton,3,Other/Unknown,36,6.4%
2004,26,Genesee,0,Total,539,100.0%
2004,26,Genesee,1,Burial,337,62.5%
2004,26,Genesee,2,Cremation,164,30.4%
2004,26,Genesee,3,Other/Unknown,38,7.1%
2004,27,Greene,0,Total,527,100.0%
2004,27,Greene,1,Burial,294,55.8%
2004,27,Greene,2,Cremation,202,38.3%
2004,27,Greene,3,Other/Unknown,31,5.9%
2004,28,Hamilton,0,Total,61,100.0%
2004,28,Hamilton,1,Burial,31,50.8%
2004,28,Hamilton,2,Cremation,24,39.3%
2004,28,Hamilton,3,Other/Unknown,6,9.8%
2004,29,Herkimer,0,Total,718,100.0%
2004,29,Herkimer,1,Burial,442,61.6%
2004,29,Herkimer,2,Cremation,206,28.7%
2004,29,Herkimer,3,Other/Unknown,70,9.7%
2004,30,Jefferson,0,Total,928,100.0%
2004,30,Jefferson,1,Burial,455,49.0%
2004,30,Jefferson,2,Cremation,385,41.5%
2004,30,Jefferson,3,Other/Unknown,88,9.5%
2004,31,Lewis,0,Total,220,100.0%
2004,31,Lewis,1,Burial,129,58.6%
2004,31,Lewis,2,Cremation,65,29.5%
2004,31,Lewis,3,Other/Unknown,26,11.8%
2004,32,Livingston,0,Total,468,100.0%
2004,32,Livingston,1,Burial,268,57.3%
2004,32,Livingston,2,Cremation,182,38.9%
2004,32,Livingston,3,Other/Unknown,18,3.8%
2004,33,Madison,0,Total,607,100.0%
2004,33,Madison,1,Burial,358,59.0%
2004,33,Madison,2,Cremation,205,33.8%
2004,33,Madison,3,Other/Unknown,44,7.2%
2004,34,Monroe,0,Total,6250,100.0%
2004,34,Monroe,1,Burial,3682,58.9%
2004,34,Monroe,2,Cremation,2005,32.1%
2004,34,Monroe,3,Other/Unknown,563,9.0%
2004,35,Montgomery,0,Total,629,100.0%
2004,35,Montgomery,1,Burial,451,71.7%
2004,35,Montgomery,2,Cremation,136,21.6%
2004,35,Montgomery,3,Other/Unknown,42,6.7%
2004,36,Nassau,0,Total,10745,100.0%
2004,36,Nassau,1,Burial,8266,76.9%
2004,36,Nassau,2,Cremation,1943,18.1%
2004,36,Nassau,3,Other/Unknown,536,5.0%
2004,37,Niagara,0,Total,2305,100.0%
2004,37,Niagara,1,Burial,1335,57.9%
2004,37,Niagara,2,Cremation,748,32.5%
2004,37,Niagara,3,Other/Unknown,222,9.6%
2004,38,Oneida,0,Total,2487,100.0%
2004,38,Oneida,1,Burial,1746,70.2%
2004,38,Oneida,2,Cremation,594,23.9%
2004,38,Oneida,3,Other/Unknown,147,5.9%
2004,39,Onondaga,0,Total,3961,100.0%
2004,39,Onondaga,1,Burial,2493,62.9%
2004,39,Onondaga,2,Cremation,1141,28.8%
2004,39,Onondaga,3,Other/Unknown,327,8.3%
2004,40,Ontario,0,Total,957,100.0%
2004,40,Ontario,1,Burial,485,50.7%
2004,40,Ontario,2,Cremation,408,42.6%
2004,40,Ontario,3,Other/Unknown,64,6.7%
2004,41,Orange,0,Total,2499,100.0%
2004,41,Orange,1,Burial,1540,61.6%
2004,41,Orange,2,Cremation,835,33.4%
2004,41,Orange,3,Other/Unknown,124,5.0%
2004,42,Orleans,0,Total,363,100.0%
2004,42,Orleans,1,Burial,236,65.0%
2004,42,Orleans,2,Cremation,114,31.4%
2004,42,Orleans,3,Other/Unknown,13,3.6%
2004,43,Oswego,0,Total,1041,100.0%
2004,43,Oswego,1,Burial,637,61.2%
2004,43,Oswego,2,Cremation,341,32.8%
2004,43,Oswego,3,Other/Unknown,63,6.1%
2004,44,Otsego,0,Total,592,100.0%
2004,44,Otsego,1,Burial,270,45.6%
2004,44,Otsego,2,Cremation,275,46.5%
2004,44,Otsego,3,Other/Unknown,47,7.9%
2004,45,Putnam,0,Total,623,100.0%
2004,45,Putnam,1,Burial,394,63.2%
2004,45,Putnam,2,Cremation,178,28.6%
2004,45,Putnam,3,Other/Unknown,51,8.2%
2004,46,Rensselaer,0,Total,1466,100.0%
2004,46,Rensselaer,1,Burial,1001,68.3%
2004,46,Rensselaer,2,Cremation,328,22.4%
2004,46,Rensselaer,3,Other/Unknown,137,9.3%
2004,47,Rockland,0,Total,1925,100.0%
2004,47,Rockland,1,Burial,1461,75.9%
2004,47,Rockland,2,Cremation,386,20.1%
2004,47,Rockland,3,Other/Unknown,78,4.1%
2004,48,St Lawrence,0,Total,1038,100.0%
2004,48,St Lawrence,1,Burial,590,56.8%
2004,48,St Lawrence,2,Cremation,348,33.5%
2004,48,St Lawrence,3,Other/Unknown,100,9.6%
2004,49,Saratoga,0,Total,1504,100.0%
2004,49,Saratoga,1,Burial,868,57.7%
2004,49,Saratoga,2,Cremation,525,34.9%
2004,49,Saratoga,3,Other/Unknown,111,7.4%
2004,50,Schenectady,0,Total,1547,100.0%
2004,50,Schenectady,1,Burial,987,63.8%
2004,50,Schenectady,2,Cremation,429,27.7%
2004,50,Schenectady,3,Other/Unknown,131,8.5%
2004,51,Schoharie,0,Total,298,100.0%
2004,51,Schoharie,1,Burial,164,55.0%
2004,51,Schoharie,2,Cremation,107,35.9%
2004,51,Schoharie,3,Other/Unknown,27,9.1%
2004,52,Schuyler,0,Total,165,100.0%
2004,52,Schuyler,1,Burial,85,51.5%
2004,52,Schuyler,2,Cremation,64,38.8%
2004,52,Schuyler,3,Other/Unknown,16,9.7%
2004,53,Seneca,0,Total,306,100.0%
2004,53,Seneca,1,Burial,164,53.6%
2004,53,Seneca,2,Cremation,122,39.9%
2004,53,Seneca,3,Other/Unknown,20,6.5%
2004,54,Steuben,0,Total,1027,100.0%
2004,54,Steuben,1,Burial,648,63.1%
2004,54,Steuben,2,Cremation,294,28.6%
2004,54,Steuben,3,Other/Unknown,85,8.3%
2004,55,Suffolk,0,Total,11211,100.0%
2004,55,Suffolk,1,Burial,8073,72.0%
2004,55,Suffolk,2,Cremation,2620,23.4%
2004,55,Suffolk,3,Other/Unknown,518,4.6%
2004,56,Sullivan,0,Total,714,100.0%
2004,56,Sullivan,1,Burial,438,61.3%
2004,56,Sullivan,2,Cremation,228,31.9%
2004,56,Sullivan,3,Other/Unknown,48,6.7%
2004,57,Tioga,0,Total,403,100.0%
2004,57,Tioga,1,Burial,164,40.7%
2004,57,Tioga,2,Cremation,119,29.5%
2004,57,Tioga,3,Other/Unknown,120,29.8%
2004,58,Tompkins,0,Total,574,100.0%
2004,58,Tompkins,1,Burial,229,39.9%
2004,58,Tompkins,2,Cremation,293,51.0%
2004,58,Tompkins,3,Other/Unknown,52,9.1%
2004,59,Ulster,0,Total,1530,100.0%
2004,59,Ulster,1,Burial,924,60.4%
2004,59,Ulster,2,Cremation,539,35.2%
2004,59,Ulster,3,Other/Unknown,67,4.4%
2004,60,Warren,0,Total,570,100.0%
2004,60,Warren,1,Burial,285,50.0%
2004,60,Warren,2,Cremation,230,40.4%
2004,60,Warren,3,Other/Unknown,55,9.6%
2004,61,Washington,0,Total,575,100.0%
2004,61,Washington,1,Burial,293,51.0%
2004,61,Washington,2,Cremation,177,30.8%
2004,61,Washington,3,Other/Unknown,105,18.3%
2004,62,Wayne,0,Total,820,100.0%
2004,62,Wayne,1,Burial,490,59.8%
2004,62,Wayne,2,Cremation,290,35.4%
2004,62,Wayne,3,Other/Unknown,40,4.9%
2004,63,Westchester,0,Total,7198,100.0%
2004,63,Westchester,1,Burial,4812,66.9%
2004,63,Westchester,2,Cremation,1724,24.0%
2004,63,Westchester,3,Other/Unknown,662,9.2%
2004,64,Wyoming,0,Total,365,100.0%
2004,64,Wyoming,1,Burial,221,60.5%
2004,64,Wyoming,2,Cremation,124,34.0%
2004,64,Wyoming,3,Other/Unknown,20,5.5%
2004,65,Yates,0,Total,208,100.0%
2004,65,Yates,1,Burial,91,43.8%
2004,65,Yates,2,Cremation,100,48.1%
2004,65,Yates,3,Other/Unknown,17,8.2%
2005,1,New York State,0,Total,150987,100.0%
2005,1,New York State,1,Burial,99460,65.9%
2005,1,New York State,2,Cremation,40305,26.7%
2005,1,New York State,3,Other/Unknown,11222,7.4%
2005,2,New York City,0,Total,55775,100.0%
2005,2,New York City,1,Burial,39792,71.3%
2005,2,New York City,2,Cremation,12340,22.1%
2005,2,New York City,3,Other/Unknown,3643,6.5%
2005,3,Bronx,0,Total,9496,100.0%
2005,3,Bronx,1,Burial,6493,68.4%
2005,3,Bronx,2,Cremation,2165,22.8%
2005,3,Bronx,3,Other/Unknown,838,8.8%
2005,4,Kings,0,Total,17116,100.0%
2005,4,Kings,1,Burial,13428,78.5%
2005,4,Kings,2,Cremation,2781,16.2%
2005,4,Kings,3,Other/Unknown,907,5.3%
2005,5,New York,0,Total,10703,100.0%
2005,5,New York,1,Burial,6357,59.4%
2005,5,New York,2,Cremation,3567,33.3%
2005,5,New York,3,Other/Unknown,779,7.3%
2005,6,Queens,0,Total,14953,100.0%
2005,6,Queens,1,Burial,10986,73.5%
2005,6,Queens,2,Cremation,3079,20.6%
2005,6,Queens,3,Other/Unknown,888,5.9%
2005,7,Richmond,0,Total,3507,100.0%
2005,7,Richmond,1,Burial,2528,72.1%
2005,7,Richmond,2,Cremation,748,21.3%
2005,7,Richmond,3,Other/Unknown,231,6.6%
2005,8,Rest of State,0,Total,95212,100.0%
2005,8,Rest of State,1,Burial,59668,62.7%
2005,8,Rest of State,2,Cremation,27965,29.4%
2005,8,Rest of State,3,Other/Unknown,7579,8.0%
2005,9,Albany,0,Total,2839,100.0%
2005,9,Albany,1,Burial,1942,68.4%
2005,9,Albany,2,Cremation,677,23.8%
2005,9,Albany,3,Other/Unknown,220,7.7%
2005,10,Allegany,0,Total,481,100.0%
2005,10,Allegany,1,Burial,288,59.9%
2005,10,Allegany,2,Cremation,172,35.8%
2005,10,Allegany,3,Other/Unknown,21,4.4%
2005,11,Broome,0,Total,2007,100.0%
2005,11,Broome,1,Burial,1169,58.2%
2005,11,Broome,2,Cremation,640,31.9%
2005,11,Broome,3,Other/Unknown,198,9.9%
2005,12,Cattaraugus,0,Total,875,100.0%
2005,12,Cattaraugus,1,Burial,534,61.0%
2005,12,Cattaraugus,2,Cremation,275,31.4%
2005,12,Cattaraugus,3,Other/Unknown,66,7.5%
2005,13,Cayuga,0,Total,780,100.0%
2005,13,Cayuga,1,Burial,472,60.5%
